WKT,name
"POLYGON ((-121.411369 36.852422,-121.411111 36.852422,-121.411111 36.852514,-121.411369 36.852514,-121.411369 36.852422))",San Benito
"POLYGON ((-121.412203 36.852424,-121.412203 36.852368,-121.412106 36.852368,-121.412106 36.852538,-121.412254 36.852538,-121.412254 36.852424,-121.412203 36.852424))",San Benito
"POLYGON ((-121.412484 36.85237,-121.412482 36.852579,-121.412702 36.85258,-121.412704 36.852258,-121.412425 36.852256,-121.412425 36.85237,-121.412484 36.85237))",San Benito
"POLYGON ((-121.401369 36.845312,-121.40137 36.845409,-121.401604 36.845408,-121.401604 36.845444,-121.401716 36.845444,-121.401715 36.845384,-121.401657 36.845384,-121.401657 36.845329,-121.401583 36.84533,-121.401583 36.84531,-121.401369 36.845312))",San Benito
"POLYGON ((-121.407192 36.845813,-121.406991 36.845813,-121.406991 36.845888,-121.407018 36.845888,-121.407018 36.845931,-121.407192 36.845931,-121.407192 36.845813))",San Benito
"POLYGON ((-121.40977 36.846556,-121.409939 36.846556,-121.409939 36.846393,-121.409853 36.846393,-121.409853 36.846416,-121.40977 36.846416,-121.40977 36.846556))",San Benito
"POLYGON ((-121.406664 36.846991,-121.406549 36.846991,-121.406549 36.847152,-121.406664 36.847152,-121.406664 36.846991))",San Benito
"POLYGON ((-121.400811 36.847792,-121.401047 36.847792,-121.401047 36.847663,-121.400811 36.847663,-121.400811 36.847792))",San Benito
"POLYGON ((-121.408399 36.847955,-121.408517 36.847955,-121.408517 36.847805,-121.408399 36.847805,-121.408399 36.847955))",San Benito
"POLYGON ((-121.403425 36.848796,-121.403361 36.848797,-121.403362 36.84885,-121.403426 36.848849,-121.403425 36.848796))",San Benito
"POLYGON ((-121.408297 36.84897,-121.408297 36.849065,-121.408464 36.849065,-121.408464 36.84897,-121.408297 36.84897))",San Benito
"POLYGON ((-121.40838 36.850011,-121.408496 36.850012,-121.4085 36.849677,-121.408385 36.849676,-121.40838 36.850011))",San Benito
"POLYGON ((-121.408421 36.850153,-121.408421 36.850076,-121.408338 36.850076,-121.408338 36.850153,-121.408421 36.850153))",San Benito
"POLYGON ((-121.40896 36.850288,-121.40896 36.850417,-121.409065 36.850417,-121.409065 36.850288,-121.40896 36.850288))",San Benito
"POLYGON ((-121.40146 36.850746,-121.401457 36.850846,-121.40167 36.85085,-121.401669 36.850901,-121.401971 36.850906,-121.401976 36.850755,-121.40146 36.850746))",San Benito
"POLYGON ((-121.400186 36.851917,-121.400446 36.851922,-121.400449 36.85181,-121.400361 36.851809,-121.400365 36.851682,-121.400499 36.851685,-121.400504 36.851528,-121.400198 36.851522,-121.400186 36.851917))",San Benito
"POLYGON ((-121.388562 36.853877,-121.388562 36.853999,-121.388666 36.853999,-121.388666 36.853963,-121.388723 36.853963,-121.388723 36.853877,-121.388562 36.853877))",San Benito
"POLYGON ((-121.393793 36.85405,-121.39379 36.854136,-121.39397 36.85414,-121.393976 36.854005,-121.393902 36.854003,-121.3939 36.854053,-121.393793 36.85405))",San Benito
"POLYGON ((-121.39494 36.854317,-121.39494 36.854171,-121.394752 36.854171,-121.394752 36.854274,-121.39486 36.854274,-121.39486 36.854317,-121.39494 36.854317))",San Benito
"POLYGON ((-121.388648 36.855394,-121.388648 36.855501,-121.388792 36.855501,-121.388792 36.855394,-121.388648 36.855394))",San Benito
"POLYGON ((-121.391595 36.856703,-121.391595 36.856596,-121.39145 36.856596,-121.39145 36.856703,-121.391595 36.856703))",San Benito
"POLYGON ((-121.396364 36.856901,-121.396364 36.857032,-121.396501 36.857032,-121.396501 36.856931,-121.39645 36.856931,-121.39645 36.856901,-121.396364 36.856901))",San Benito
